DATE,personal_savings
01-01-2000,358.9
01-02-2000,324.3
01-03-2000,311.8
01-04-2000,347.8
01-05-2000,351.1
01-06-2000,355.3
01-07-2000,383.8
01-08-2000,389.9
01-09-2000,340.8
01-10-2000,360.3
01-11-2000,355.3
01-12-2000,337.9
01-01-2001,379.4
01-02-2001,385.8
01-03-2001,411.8
01-04-2001,394.2
01-05-2001,347.4
01-06-2001,343.5
01-07-2001,439.9
01-08-2001,529.7
01-09-2001,551.5
01-10-2001,237.9
01-11-2001,274.8
01-12-2001,298
01-01-2002,451.1
01-02-2002,437.5
01-03-2002,448.6
01-04-2002,440.7
01-05-2002,504.4
01-06-2002,507.4
01-07-2002,441.7
01-08-2002,435.9
01-09-2002,482
01-10-2002,474.3
01-11-2002,476.6
01-12-2002,449.6
01-01-2003,442.9
01-02-2003,439.1
01-03-2003,415.9
01-04-2003,426.5
01-05-2003,465.7
01-06-2003,449.2
01-07-2003,521.3
01-08-2003,513.3
01-09-2003,439.1
01-10-2003,453.3
01-11-2003,459.3
01-12-2003,454.4
01-01-2004,425.4
01-02-2004,426.3
01-03-2004,418.7
01-04-2004,452.4
01-05-2004,454.8
01-06-2004,504.3
01-07-2004,453.2
01-08-2004,450.6
01-09-2004,402.3
01-10-2004,387.9
01-11-2004,345.5
01-12-2004,623.8
01-01-2005,296.2
01-02-2005,263.6
01-03-2005,285.7
01-04-2005,252
01-05-2005,302
01-06-2005,242.9
01-07-2005,193.4
01-08-2005,248.7
01-09-2005,252.2
01-10-2005,274.5
01-11-2005,304.5
01-12-2005,300.1
01-01-2006,363.2
01-02-2006,388.5
01-03-2006,408.1
01-04-2006,382.1
01-05-2006,362.4
01-06-2006,372.3
01-07-2006,315.8
01-08-2006,336.7
01-09-2006,327.3
01-10-2006,327.7
01-11-2006,364.1
01-12-2006,355.6
01-01-2007,332.9
01-02-2007,372.9
01-03-2007,402.2
01-04-2007,397.2
01-05-2007,381.6
01-06-2007,370.1
01-07-2007,356.7
01-08-2007,322.6
01-09-2007,333.6
01-10-2007,323.6
01-11-2007,296.5
01-12-2007,342.1
01-01-2008,348.5
01-02-2008,385
01-03-2008,367.3
01-04-2008,312
01-05-2008,826.4
01-06-2008,564.2
01-07-2008,445
01-08-2008,381.3
01-09-2008,472.7
01-10-2008,576
01-11-2008,693.2
01-12-2008,668.7
01-01-2009,676.6
01-02-2009,605.9
01-03-2009,639.4
01-04-2009,718.7
01-05-2009,868.3
01-06-2009,672.5
01-07-2009,593.9
01-08-2009,485.5
01-09-2009,607.4
01-10-2009,566.9
01-11-2009,619.7
01-12-2009,621.2
01-01-2010,653
01-02-2010,625.6
01-03-2010,624.2
01-04-2010,702
01-05-2010,762.1
01-06-2010,742
01-07-2010,731.3
01-08-2010,748
01-09-2010,742.1
01-10-2010,718.1
01-11-2010,703.7
01-12-2010,759.6
01-01-2011,807.3
01-02-2011,846.5
01-03-2011,780.5
01-04-2011,773.5
